"project","campaignid","sample","family","genus","species","legal.sublegal","count","year","sanctuary","status","site","observer","replicate","sampling.location","depth","gps","way.point","d","time","complexity","algal.cover","latitude","longitude","successful.count","successful.length","date","location"
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","105","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","105","none","1","jane1","93","12/30/1899","11:19:00","4","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","106","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","106","none","1","jane1","94","12/30/1899","11:21:00","2","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","106","Palinuridae","Panulirus","cygnus","Sublegal","2","2014","Armstrong Bay","Fished","Ricey Beach","none","106","none","1","jane1","94","12/30/1899","11:21:00","2","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","106","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","106","none","1","jane1","94","12/30/1899","11:21:00","2","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","107","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","107","none","1","jane1","95","12/30/1899","11:24:00","2","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","107","Palinuridae","Panulirus","cygnus","Sublegal","2","2014","Armstrong Bay","Fished","Ricey Beach","none","107","none","1","jane1","95","12/30/1899","11:24:00","2","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","107","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","107","none","1","jane1","95","12/30/1899","11:24:00","2","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","109","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","109","none","1","ncb1","60","12/30/1899","11:04:00","4","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","109","Palinuridae","Panulirus","cygnus","Sublegal","2","2014","Armstrong Bay","Fished","Ricey Beach","none","109","none","1","ncb1","60","12/30/1899","11:04:00","4","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","109","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","109","none","1","ncb1","60","12/30/1899","11:04:00","4","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","11","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","No-take","Little Armstrong","none","11","none","1","jane1","97","12/30/1899","12:35:00","3","2","-31.990553","115.505975","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","11","Palinuridae","Panulirus","cygnus","Sublegal","17","2014","Armstrong Bay","No-take","Little Armstrong","none","11","none","1","jane1","97","12/30/1899","12:35:00","3","2","-31.990553","115.505975","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","11","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","No-take","Little Armstrong","none","11","none","1","jane1","97","12/30/1899","12:35:00","3","2","-31.990553","115.505975","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","112","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","112","none","1","ncb1","63","12/30/1899","11:10:00","4","1","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","112","Palinuridae","Panulirus","cygnus","Sublegal","2","2014","Armstrong Bay","Fished","Ricey Beach","none","112","none","1","ncb1","63","12/30/1899","11:10:00","4","1","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","112","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","112","none","1","ncb1","63","12/30/1899","11:10:00","4","1","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","114","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","114","none","1","ncb1","65","12/30/1899","11:18:00","2","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","114","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Armstrong Bay","Fished","Ricey Beach","none","114","none","1","ncb1","65","12/30/1899","11:18:00","2","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","114","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","114","none","1","ncb1","65","12/30/1899","11:18:00","2","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","115","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","115","none","1","ncb1","66","12/30/1899","11:20:00","3","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","115","Palinuridae","Panulirus","cygnus","Sublegal","3","2014","Armstrong Bay","Fished","Ricey Beach","none","115","none","1","ncb1","66","12/30/1899","11:20:00","3","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","115","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","115","none","1","ncb1","66","12/30/1899","11:20:00","3","2","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","117","Palinuridae","Panulirus","cygnus","Legal","0","2014","Armstrong Bay","Fished","Ricey Beach","none","117","none","1","ncb1","68","12/30/1899","11:28:00","2","3","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","117","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Armstrong Bay","Fished","Ricey Beach","none","117","none","1","ncb1","68","12/30/1899","11:28:00","2","3","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","117","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","Fished","Ricey Beach","none","117","none","1","ncb1","68","12/30/1899","11:28:00","2","3","-31.999667","115.48882","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","119","Palinuridae","Panulirus","cygnus","Legal","2","2014","Parker Point","No-take","Parker Point","none","119","none","1","black","17","12/30/1899","9:12:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","119","Palinuridae","Panulirus","cygnus","Sublegal","7","2014","Parker Point","No-take","Parker Point","none","119","none","1","black","17","12/30/1899","9:12:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","119","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","119","none","1","black","17","12/30/1899","9:12:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","120","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","120","none","1","black","18","12/30/1899","9:21:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","120","Palinuridae","Panulirus","cygnus","Sublegal","2","2014","Parker Point","No-take","Parker Point","none","120","none","1","black","18","12/30/1899","9:21:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","120","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","120","none","1","black","18","12/30/1899","9:21:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","121","Palinuridae","Panulirus","cygnus","Legal","2","2014","Parker Point","No-take","Parker Point","none","121","none","1","black","19","12/30/1899","9:29:00","3","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","121","Palinuridae","Panulirus","cygnus","Sublegal","4","2014","Parker Point","No-take","Parker Point","none","121","none","1","black","19","12/30/1899","9:29:00","3","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","121","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","121","none","1","black","19","12/30/1899","9:29:00","3","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","122","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","122","none","1","black","20","12/30/1899","9:39:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","122","Palinuridae","Panulirus","cygnus","Sublegal","3","2014","Parker Point","No-take","Parker Point","none","122","none","1","black","20","12/30/1899","9:39:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","122","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","122","none","1","black","20","12/30/1899","9:39:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","124","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","124","none","1","black","22","12/30/1899","9:45:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","124","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Parker Point","No-take","Parker Point","none","124","none","1","black","22","12/30/1899","9:45:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","124","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","124","none","1","black","22","12/30/1899","9:45:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","125","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","125","none","1","black","23","12/30/1899","9:48:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","125","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Parker Point","No-take","Parker Point","none","125","none","1","black","23","12/30/1899","9:48:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","125","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","125","none","1","black","23","12/30/1899","9:48:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","126","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","126","none","1","black","24","12/30/1899","9:52:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","126","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Parker Point","No-take","Parker Point","none","126","none","1","black","24","12/30/1899","9:52:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","126","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","126","none","1","black","24","12/30/1899","9:52:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","127","Palinuridae","Panulirus","cygnus","Legal","1","2014","Parker Point","No-take","Parker Point","none","127","none","1","black","25","12/30/1899","9:54:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","127","Palinuridae","Panulirus","cygnus","Sublegal","2","2014","Parker Point","No-take","Parker Point","none","127","none","1","black","25","12/30/1899","9:54:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","127","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","127","none","1","black","25","12/30/1899","9:54:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","128","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","128","none","1","black","26","12/30/1899","9:59:00","1","1","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","128","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Parker Point","No-take","Parker Point","none","128","none","1","black","26","12/30/1899","9:59:00","1","1","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","128","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","128","none","1","black","26","12/30/1899","9:59:00","1","1","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","129","Palinuridae","Panulirus","cygnus","Legal","2","2014","Parker Point","No-take","Parker Point","none","129","none","1","black","17","12/30/1899","9:12:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","129","Palinuridae","Panulirus","cygnus","Sublegal","7","2014","Parker Point","No-take","Parker Point","none","129","none","1","black","17","12/30/1899","9:12:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","129","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","129","none","1","black","17","12/30/1899","9:12:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","13","Palinuridae","Panulirus","cygnus","Legal","1","2014","Armstrong Bay","No-take","Little Armstrong","none","13","none","1","jane1","99","12/30/1899","12:41:00","1","3","-31.990553","115.505975","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","13","Palinuridae","Panulirus","cygnus","Sublegal","2","2014","Armstrong Bay","No-take","Little Armstrong","none","13","none","1","jane1","99","12/30/1899","12:41:00","1","3","-31.990553","115.505975","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","13","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Armstrong Bay","No-take","Little Armstrong","none","13","none","1","jane1","99","12/30/1899","12:41:00","1","3","-31.990553","115.505975","Yes","Yes","20140126",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","130","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","130","none","1","black","18","12/30/1899","9:21:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","130","Palinuridae","Panulirus","cygnus","Sublegal","2","2014","Parker Point","No-take","Parker Point","none","130","none","1","black","18","12/30/1899","9:21:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","130","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","130","none","1","black","18","12/30/1899","9:21:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","131","Palinuridae","Panulirus","cygnus","Legal","2","2014","Parker Point","No-take","Parker Point","none","131","none","1","black","19","12/30/1899","9:29:00","3","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","131","Palinuridae","Panulirus","cygnus","Sublegal","4","2014","Parker Point","No-take","Parker Point","none","131","none","1","black","19","12/30/1899","9:29:00","3","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","131","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","131","none","1","black","19","12/30/1899","9:29:00","3","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","132","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","132","none","1","black","20","12/30/1899","9:39:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","132","Palinuridae","Panulirus","cygnus","Sublegal","3","2014","Parker Point","No-take","Parker Point","none","132","none","1","black","20","12/30/1899","9:39:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","132","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","132","none","1","black","20","12/30/1899","9:39:00","2","2","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","134","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","134","none","1","black","22","12/30/1899","9:45:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","134","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Parker Point","No-take","Parker Point","none","134","none","1","black","22","12/30/1899","9:45:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","134","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","134","none","1","black","22","12/30/1899","9:45:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","135","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","135","none","1","black","23","12/30/1899","9:48:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","135","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Parker Point","No-take","Parker Point","none","135","none","1","black","23","12/30/1899","9:48:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","135","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","135","none","1","black","23","12/30/1899","9:48:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","136","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","136","none","1","black","24","12/30/1899","9:52:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","136","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Parker Point","No-take","Parker Point","none","136","none","1","black","24","12/30/1899","9:52:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","136","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","136","none","1","black","24","12/30/1899","9:52:00","1","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","137","Palinuridae","Panulirus","cygnus","Legal","1","2014","Parker Point","No-take","Parker Point","none","137","none","1","black","25","12/30/1899","9:54:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","137","Palinuridae","Panulirus","cygnus","Sublegal","2","2014","Parker Point","No-take","Parker Point","none","137","none","1","black","25","12/30/1899","9:54:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","137","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","137","none","1","black","25","12/30/1899","9:54:00","3","3","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","138","Palinuridae","Panulirus","cygnus","Legal","0","2014","Parker Point","No-take","Parker Point","none","138","none","1","black","26","12/30/1899","9:59:00","1","1","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","138","Palinuridae","Panulirus","cygnus","Sublegal","1","2014","Parker Point","No-take","Parker Point","none","138","none","1","black","26","12/30/1899","9:59:00","1","1","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","138","Palinuridae","Panulirus","cygnus","Unsized","0","2014","Parker Point","No-take","Parker Point","none","138","none","1","black","26","12/30/1899","9:59:00","1","1","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","139","Palinuridae","Panulirus","cygnus","Legal","2","2014","Parker Point","No-take","Parker Point","none","139","none","1","jane1","19","12/30/1899","9:16:00","2","1","-32.025693","115.529321","Yes","Yes","20140124",NA
"BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC","139","Palinuridae","Panulirus","cygnus","Sublegal","3","2014","Parker Point","No-take","Parker Point","none","139","none","1","jane1","19","12/30/1899","9:16:00","2","1","-32.025693","115.529321","Yes","Yes","20140124",NA
